seed,sigma,final_mse,mse_auc,convergence_month,insurer_gap,group_gap,worst_group_mse
4,0.01,0.0019919634927386297,0.0019119617836199834,39,0.0008053042875830645,0.0030556603577912398,0.0038115814872062698
4,0.05,0.01371764518500242,0.010358012651165314,81,0.010674241490384047,0.023644521523986193,0.028944823991151974
4,0.1,0.015856558080155837,0.02096366061094307,54,0.007836294212980535,0.02712072858976311,0.03305727492975209
5,0.0,0.0015218738194545617,0.001788364288437385,1,5.746376860333163e-05,0.0036024991279585534,0.004020261907504924
5,0.01,0.002091070875214437,0.0028800373494075764,11,6.928859224054375e-05,0.0035399854170746004,0.004516645796797355
5,0.05,0.014059796020514926,0.020377650594237712,23,0.0009588212099408543,0.007901302771570333,0.01881101462267051
5,0.1,0.0508930657592641,0.06904838098559074,120,0.004047109786410689,0.02141644026799912,0.06297352464732646
6,0.0,0.001325400588708401,0.0020108943593079276,14,5.6804003260999144e-05,0.002179099884468831,0.0027625743508383634
6,0.01,0.004605825757975253,0.00316610296526542,43,0.0031199557961842242,0.001991877267917829,0.005574075378011055
6,0.05,0.07347764522896996,0.02289004413623118,120,0.0668676959860449,0.02093977434833024,0.08336108109509785
6,0.1,0.28819820126457535,0.0725732337793754,120,0.2657209757661223,0.07634750172856436,0.3192391280154794
7,0.0,0.0014435401481170452,0.0016484424732809146,13,7.628458389310726e-05,0.0038992938858259186,0.004311046408204616
7,0.01,0.0015305455916550456,0.0022407589872173034,23,0.00031791158785431046,0.0028638720912430747,0.0035305489548873733
7,0.05,0.0057821122828066295,0.013749222831471898,113,0.00461116284039722,0.00331393571284738,0.0076110386164281564
7,0.1,0.019882391655265143,0.04364092614071579,74,0.017788440955924426,0.011394371183907261,0.025524889703168175
8,0.0,0.0010234774199328392,0.0012835112636850905,13,1.3202128936332223e-05,0.0022810142275987394,0.0026235770833717836
8,0.01,0.001154490507320399,0.001918839139237349,3,8.349468458190018e-05,0.002286558314640125,0.0027064741331101283
8,0.05,0.003370634885373649,0.0121256575821191,120,0.0014270655775459626,0.0031788835277437913,0.005531224120330925
8,0.1,0.006467499388256051,0.04273419321345442,120,0.003953405837122766,0.007631497183266259,0.011437578687922412
9,0.0,0.000738887987818474,0.0012202756867743228,1,1.908763301147684e-05,0.0013998086002547914,0.0017599852550380852
9,0.01,0.0011011993099826608,0.0017318763574913386,7,0.00026466441400790447,0.0018571342154928513,0.0023760434229638753
9,0.05,0.007665338588478378,0.011445161980469775,64,0.004335080396614709,0.009314816290381493,0.014181526552431684
9,0.1,0.016594187988614572,0.03509759152768594,84,0.005509785779803976,0.020900954329201173,0.030639168115229386
10,0.0,0.0017872497169991637,0.0017181768234084695,1,2.8920197323022428e-05,0.005024501501458647,0.005476367339960366
10,0.01,0.0028559108369367366,0.0026853921235897318,9,0.0012141229237802556,0.006778234413880648,0.007817039700144178
10,0.05,0.014426355070454158,0.024372860039425907,120,0.01275465214577558,0.028864809089584165,0.03332243222899856
10,0.1,0.019735859022140725,0.08773028718692444,63,0.015145131359733199,0.04758876819623996,0.052172158523837095
11,0.0,0.0007105466565395355,0.0013239311131390933,14,1.2889909997543415e-05,0.001617173114698768,0.001886037075492853
