seed,sigma,month,global_mse,insurer_gap,group_gap,worst_group_mse
20,0.05,15,0.006214074024243045,0.004033471529707894,0.002275369280406449,0.007351874326691584
20,0.05,16,0.0078017501887408134,0.004236132715864512,0.007978708689293684,0.013428903712709106
20,0.05,17,0.007521197251767652,0.00443563511652509,0.006903901476680938,0.011993167628720705
20,0.05,18,0.007821398631548775,0.004735352366386462,0.007725218545249845,0.01269371657970465
20,0.05,19,0.007334768405902316,0.004902450380369676,0.0051555459029110585,0.010369907519230972
20,0.05,20,0.014499331833485538,0.0,0.010210148458406718,0.020920896082333558
20,0.05,21,0.013937903593213754,0.009565087859724115,0.010099993554249986,0.020383771302922935
20,0.05,22,0.013086866424327624,0.009455283481048474,0.010271760852498018,0.019873624508286034
20,0.05,23,0.012484942030450658,0.009180515501688467,0.010297248221212054,0.019307014506823907
20,0.05,24,0.012413912496866858,0.008974713066533201,0.010935137626357273,0.019020714957653954
20,0.05,25,0.012304084893993275,0.008989343271525093,0.010168065679908892,0.018364435617220783
20,0.05,26,0.012147037885911769,0.008997002282082637,0.01026019099122295,0.017757911098637648
20,0.05,27,0.0124942603175373,0.008927756766670828,0.010083083697014385,0.01722300724132993
20,0.05,28,0.011349631042863685,0.008607491118837088,0.009468082001366455,0.016246060470813836
20,0.05,29,0.011694071977137975,0.00872013549225041,0.009222780243755505,0.015888448441956683
20,0.05,30,0.005306401766079433,0.0,0.009658083420184753,0.011886672834132646
20,0.05,31,0.005114911121649659,0.0017155423889540036,0.008369484473237116,0.010671967722654427
20,0.05,32,0.004174937366791131,0.0020111375941928317,0.0046905847670671574,0.007052967349775841
20,0.05,33,0.004138572583139677,0.0021616195276800186,0.0033136250127726624,0.005904162829988427
20,0.05,34,0.004112595968096084,0.0024646835176360153,0.003003652841280974,0.005609094075349787
20,0.05,35,0.0038776119565149965,0.0026334897439888316,0.0029594148446295573,0.005743451941585583
20,0.05,36,0.003888176781846089,0.002645682982271763,0.002755989118365651,0.005689424564291956
20,0.05,37,0.0040210946457162975,0.0026389069343797354,0.0023027720468055644,0.005397083723775597
20,0.05,38,0.004135798358727623,0.0027856386014353807,0.0022677101468344396,0.00538387801261756
20,0.05,39,0.003970304330045111,0.002835840298507534,0.0026817298126504438,0.005863730237960624
20,0.05,40,0.011326196208046237,0.0,0.004095727050516869,0.013409410289042861
20,0.05,41,0.011188356736366084,0.007895616044121135,0.004061302578964145,0.013133693742603213
20,0.05,42,0.01085210547599475,0.007894430235774508,0.004438658200532875,0.01278459362333867
20,0.05,43,0.010505797245696455,0.0073586958603059326,0.005023843577249176,0.012805826842373748
20,0.05,44,0.010349285485727189,0.007248265275615624,0.004517234610034726,0.012868209019223831
20,0.05,45,0.010074944030884967,0.0074303498197485635,0.005379086549585955,0.012855833704771646
20,0.05,46,0.01054395409422029,0.007612058486183898,0.004096818207113955,0.012528283737945883
20,0.05,47,0.010634877937274214,0.008286891291391313,0.0045425328062101145,0.01291667690194711
20,0.05,48,0.01073532610327233,0.008624558668908842,0.004348313337195946,0.013091089251186166
20,0.05,49,0.010416949008910879,0.008679171440525215,0.003946128197238403,0.012587211948946296
20,0.05,50,0.013062601397278188,0.0,0.012655003149715027,0.020393437852479854
20,0.05,51,0.012970725693896257,0.007369417764222131,0.01128066114747808,0.020351696352373695
20,0.05,52,0.013337814935576836,0.00821120716947107,0.009763019110648306,0.019974408075319892
20,0.05,53,0.013243456357156218,0.008811190950846072,0.01147258054895339,0.02122708423742432
20,0.05,54,0.01301671155696631,0.00886544522946113,0.010247243694898633,0.020506864225359255
20,0.05,55,0.012903850682326348,0.009296550659046042,0.009436800932304246,0.019665076708101477
20,0.05,56,0.01283612553028035,0.009208640384839307,0.009848033552878709,0.01963916979854297
20,0.05,57,0.012741203613865043,0.009744138175769784,0.01005329022861336,0.01980605989970119
20,0.05,58,0.01276044073789713,0.010004126587446049,0.010121807033392188,0.01984100501470678
20,0.05,59,0.013322565696431986,0.01032656270222293,0.009451224358494366,0.019170987538754826
20,0.05,60,0.05186589943063272,0.0,0.016269432062413297,0.06022371163276294
20,0.05,61,0.052537229873912204,0.048406214554798675,0.012980360696309388,0.059751921112341885
20,0.05,62,0.05325750479944785,0.049424747898420086,0.010895076881738755,0.0589990090489819
20,0.05,63,0.05300929636683532,0.050115298958329765,0.011676767754088789,0.05894866305710594
20,0.05,64,0.05201051280676252,0.04974229877954706,0.016177704993735387,0.06013871192329663
20,0.05,65,0.05339460950586786,0.051100273100652384,0.012394260089211753,0.060292108162762974
20,0.05,66,0.05282112059382268,0.050618816510338956,0.016067853752300493,0.0602242671617804
20,0.05,67,0.05377880533664243,0.051673764712318666,0.012818003522020262,0.05979484799687186
20,0.05,68,0.05376074931919148,0.05142957283891641,0.011961638492935696,0.058582653757352665
20,0.05,69,0.05425363113417743,0.05203922261128832,0.010396208791475618,0.05922108028270318
20,0.05,70,0.026167554775063585,0.0,0.005498208426670433,0.02819206149981543
20,0.05,71,0.026362160684864137,0.023555533551943737,0.0053839834076888325,0.027732139506010448
20,0.05,72,0.026314279513443544,0.023900014354670623,0.008092446896191815,0.028638630151167105
20,0.05,73,0.026390848290117477,0.02444820978178245,0.008441008848561343,0.02918121927043435
20,0.05,74,0.026165583129672734,0.024432007208923735,0.00859672405654097,0.028975870786576107
20,0.05,75,0.02604579046914432,0.02409037539348692,0.009009174971472977,0.029115313533513865
20,0.05,76,0.025895919928993254,0.023948328636577358,0.009270596358184856,0.02883162506891162
20,0.05,77,0.02615130550453905,0.02460392706761504,0.009878447900701606,0.029719329333201105
20,0.05,78,0.02677406946433833,0.025075260198411664,0.010316258346227725,0.030769059470145643
20,0.05,79,0.026861714411587065,0.02543974944200643,0.010172672754431573,0.03064601300454336
20,0.05,80,0.027319209993274383,0.0,0.012325635385707676,0.03205368709424092
20,0.05,81,0.0278358430492838,0.024539611878321814,0.011096177640003833,0.03229911687743283
20,0.05,82,0.027861881743524948,0.0258742897005881,0.012102596791468086,0.03228279487086449
20,0.05,83,0.027581273125158706,0.025838434483650377,0.013448335216448743,0.03257182953866524
20,0.05,84,0.027170089721389408,0.025845532105942596,0.013693130062823251,0.03281308442475503
20,0.05,85,0.028011766727555593,0.027018962434582197,0.013712981010951936,0.03347781537515534
20,0.05,86,0.02804536409879041,0.027135682862602324,0.011896269127235442,0.03268930303235506
20,0.05,87,0.027794642406996153,0.026835012178080778,0.01271979122701531,0.03259735851415848
20,0.05,88,0.027848293504081495,0.026922519167686565,0.011087667414570412,0.03232736553872665
20,0.05,89,0.028032473135231183,0.02711554267746385,0.010445941411294471,0.03197095693589013
20,0.05,90,0.00335041574936582,0.0,0.0012062679243792659,0.0038576560095157837
20,0.05,91,0.003502897963290825,0.0021746904943279223,0.0008348518539536593,0.004008686686490843
20,0.05,92,0.003633809990603555,0.002345373988537708,0.0012443722163073857,0.004242294033498316
20,0.05,93,0.0038083981734286813,0.0024281495614265737,0.001554198052972711,0.004740686717329354
20,0.05,94,0.0032170886561268723,0.002455287949853635,0.0011849283885816513,0.003981845639304088
20,0.05,95,0.00334630777644411,0.0024819285734301176,0.0012627485785576147,0.004126995526939011
20,0.05,96,0.0034192125416982093,0.0025484283007800256,0.0016022444197189597,0.004405963274293472
20,0.05,97,0.0038129817622369467,0.002555854835658505,0.002383065547993748,0.005088970534328493
20,0.05,98,0.0036187006286175615,0.0026310606102837248,0.0014142791374287785,0.004288962540872177
20,0.05,99,0.003343942643932904,0.0025500547718663906,0.0010159285975277163,0.0041008883549402495
20,0.05,100,0.0069093927360938355,0.0,0.0028359163464316047,0.007998917918760807
20,0.05,101,0.007109040782879127,0.0053039034760669675,0.0018442331538144358,0.007725524823840601
20,0.05,102,0.006928391397572708,0.005537651721288724,0.0020872305487305044,0.007612027192573879
20,0.05,103,0.0068363146932270856,0.00571472641741209,0.0026636827704259085,0.0075842694045636485
20,0.05,104,0.006769947088166475,0.005841236686621188,0.0029722626372828244,0.007674822491267942
20,0.05,105,0.0068389620099190696,0.005906217139075223,0.0027595506886672234,0.007644024218762115
20,0.05,106,0.00681940696176925,0.006154093787350519,0.0028429944122988163,0.007704592355091089
20,0.05,107,0.007151607980486431,0.0058085957384522,0.00149937921500631,0.007868686441422098
20,0.05,108,0.006986898170140789,0.005799491839536148,0.0018417085952863073,0.007701497296098355
20,0.05,109,0.007533151044296674,0.005845657025634883,0.0010718992681661424,0.008097611606164148
20,0.05,110,0.20718756970425725,0.0,0.02048240702301346,0.21650685300148442
20,0.05,111,0.20709255540484656,0.20347597509711926,0.0204223563485999,0.21797800423321212
20,0.05,112,0.2084934781030018,0.20587853119947597,0.01980501507843374,0.218065800978603
20,0.05,113,0.20998408294638438,0.2086104414883984,0.020304584070826415,0.22002027892215512
20,0.05,114,0.21090505682074454,0.2093603156124242,0.02126896499793271,0.22129791630541903
20,0.05,115,0.21007858383497066,0.2086983449416009,0.019825133132656575,0.22000120616291555
20,0.05,116,0.20984253162893513,0.20848723097106528,0.022930848444617236,0.2226775971992851
20,0.05,117,0.20947427595571316,0.20795851456039222,0.023600101323026618,0.22385875603030495
20,0.05,118,0.2108517333052734,0.2095315062776415,0.02056388027674197,0.22160987222556675
20,0.05,119,0.21225605921833135,0.21118482505909703,0.013420151264206426,0.2193484195723981
20,0.05,120,0.024800656900866257,0.0,0.013098649571909465,0.029268908540680302
