seed,mechanism,insured_pct,accepted_premium,accepted_coverage,profit_per_insurer,subsidy_total,hhi,override_residual,assignment_override_rate,premium_override,coverage_override
25,Central welfare planner,0.9890000000000001,220.21313996399059,0.7853933191941637,1249.319255759375,87.73820259445824,0.38843564399267205,0.3935262430476337,0.32599999999999996,0.10618839335735838,0.028864092737908964
25,FL-IMDR restricted,0.994,219.53383234171875,0.7567262977951856,1673.179758342672,526.7673391795629,0.5366350417319655,0.0,0.0,0.0,0.0
26,Bayesian direct mechanism,0.7230000000000001,215.2636674833835,0.7916763729107619,1044.9430911576296,0.0,0.8232227873653578,0.33328259846471664,0.28300000000000003,0.05840643769126573,0.0421587592381676
26,Central welfare planner,1.0,221.68696793161016,0.7866011009699714,1265.6198617812138,143.3715964609313,0.40417999999999993,0.3168760744309559,0.25,0.10496524717490845,0.02878690168700334
26,FL-IMDR restricted,0.9879999999999999,220.52355469557614,0.7559130938295751,1678.0811911608494,639.0651494299109,0.505817199164668,0.0,0.0,0.0,0.0
27,Bayesian direct mechanism,0.721,217.2443994813901,0.7885914547450574,1044.5095961748834,0.0,0.8642893735334244,0.3741769673063243,0.323,0.05789971342932341,0.044454221183325184
27,Central welfare planner,1.0,223.34044090610905,0.7865002871146255,1267.620932373231,146.11422874048006,0.38310000000000005,0.3355540225656114,0.27,0.10369649234965576,0.027411552781567088
27,FL-IMDR restricted,0.9810000000000001,221.74256832320174,0.7516600670050229,1663.5797980868792,625.1446196762237,0.5333962808794911,0.0,0.0,0.0,0.0
28,Bayesian direct mechanism,0.719,218.46182705608567,0.7958439654304711,1043.113288863573,0.0,0.7566291814712989,0.2734246885532489,0.221,0.05666367599615198,0.04818570111034589
28,Central welfare planner,1.0,223.19273959587008,0.7839714918716278,1267.6592402366534,164.10222029186025,0.36712,0.3291688735644785,0.262,0.10348260487706591,0.03085514225189101
28,FL-IMDR restricted,0.986,220.06465600809628,0.7486993841451939,1655.3072130400662,678.1577618227443,0.5778525688940819,0.0,0.0,0.0,0.0
29,Bayesian direct mechanism,0.726,216.75515072998036,0.7909300083807199,1051.1286373063392,0.0,0.8165812927793923,0.37696272105334855,0.326,0.057986854312494576,0.04393858779420258
29,Central welfare planner,1.0,222.31359694942157,0.786630551320475,1265.6545285070424,83.62069964939346,0.38396,0.3491789405528192,0.28300000000000003,0.10470135694415324,0.0276565241614851
29,FL-IMDR restricted,0.977,220.18171912277427,0.7549336048458347,1647.894680515022,549.38885309968,0.5460689626567808,0.0,0.0,0.0,0.0
30,Bayesian direct mechanism,0.714,213.51400209293897,0.7965353385706798,1029.7035930336933,0.0,0.6780869178774616,0.3817298483439895,0.33,0.05972795909479891,0.043731737593180005
30,Central welfare planner,1.0,218.35413236935923,0.7836483041549048,1262.4599134780333,211.219495218862,0.38262000000000007,0.3455201057348272,0.27599999999999997,0.10652047546076267,0.032519736008891756
30,FL-IMDR restricted,1.0,217.73698262785325,0.7578293813672097,1690.4183805814441,743.9123036658591,0.51342,0.0,0.0,0.0,0.0
31,Bayesian direct mechanism,0.723,214.2790819314705,0.7928256116192685,1043.6347996028799,0.0,0.7543510696548726,0.32671579894767844,0.274,0.05925743940127354,0.04617415849408323
31,Central welfare planner,0.999,220.812020791139,0.7884303232972096,1263.489112485628,157.99443589421134,0.4144395224977043,0.2899513927272067,0.22200000000000003,0.10554253047427639,0.030360254980137058
31,FL-IMDR restricted,0.974,220.2266692048885,0.7598729485214548,1658.1202003844014,592.4206487483675,0.48037233308171406,0.0,0.0,0.0,0.0
32,Bayesian direct mechanism,0.729,214.26696001963055,0.7928289039500236,1052.3267825439311,0.0,0.6745206714594373,0.3744883427521949,0.322,0.059846782087235,0.04512990341715487
32,Central welfare planner,1.0,220.13196356193436,0.784912271329121,1263.1922002154988,94.94846190844197,0.39376,0.34976685178829137,0.27999999999999997,0.10622356406174002,0.03331013951484277
32,FL-IMDR restricted,0.991,220.1603059449733,0.7609287400660552,1694.6670291505518,652.8398914730402,0.47872621965535644,0.0,0.0,0.0,0.0
33,Bayesian direct mechanism,0.666,212.73194021630985,0.7938335720215302,959.5625440177089,0.0,0.7292458065161791,0.32147268697215964,0.27,0.059907265772506976,0.043038108171812285
33,Central welfare planner,1.0,218.5341991427731,0.7836848521961004,1262.5807607441723,203.36398823312905,0.3931,0.2617486193741677,0.193,0.10643243908694403,0.03106479966139137
33,FL-IMDR restricted,0.983,216.51875862001762,0.7583151870370037,1653.8304685774826,746.2778455247482,0.5500274517458015,0.0,0.0,0.0,0.0
34,Bayesian direct mechanism,0.686,214.16577019793104,0.7936448597214638,990.1561166468698,0.0,0.8003696412585667,0.31037226933026596,0.26,0.05877234746315048,0.04197219119738142
34,Central welfare planner,1.0,220.1431684093522,0.7828077186530047,1264.096655046534,169.80218297361,0.38676000000000005,0.2994820044036235,0.23199999999999998,0.10530876127182043,0.029655247535426605
34,FL-IMDR restricted,0.986,217.7798840679301,0.754109463938096,1655.2422086727256,706.2493862130145,0.5689583374039524,0.0,0.0,0.0,0.0
35,Bayesian direct mechanism,0.693,214.40435967471066,0.7959654284907288,1000.5261703892041,0.0,0.6919555695518111,0.32918251910683727,0.278,0.05849567389887811,0.04386936431479647
35,Central welfare planner,1.0,220.34682868179266,0.7832304232657848,1264.2303761001417,160.66872423261455,0.38930000000000003,0.3091353118254548,0.24100000000000002,0.10537248601968156,0.030898137631227944
35,FL-IMDR restricted,0.9810000000000001,218.73270780015818,0.7562376665433441,1658.2891106773263,692.2276478272853,0.5302933374999323,0.0,0.0,0.0,0.0
36,Bayesian direct mechanism,0.7150000000000001,215.18883484651928,0.7925578005199305,1033.2305387082674,0.0,0.8066866683771897,0.3732717795724675,0.322,0.057959002861731834,0.044584556283203174
36,Central welfare planner,0.993,221.3529718983811,0.7861439850354938,1256.9404505157368,190.6703128941997,0.3976504662789512,0.3336487928821554,0.267,0.10485444882624848,0.02844313693806223
36,FL-IMDR restricted,0.986,220.5158463915418,0.7555113975670701,1675.7143048559567,656.102418030382,0.5075054114147675,0.0,0.0,0.0,0.0
