mechanism,round,n,insured_pct_mean,insured_pct_ci95,override_residual_mean,override_residual_ci95
Bayesian direct mechanism,120,50,0.7145999999999999,0.010803937060164689,0.3443292632431206,0.013190644075542312
Central welfare planner,1,50,0.12219999999999999,0.00860816728461988,,
Central welfare planner,2,50,0.1142,0.008766996292915837,,
Central welfare planner,3,50,0.1144,0.00955551024278662,,
Central welfare planner,4,50,0.12279999999999999,0.008819599990929293,,
Central welfare planner,5,50,0.12,0.008907345283528646,,
Central welfare planner,6,50,0.9984000000000001,0.001026496955670109,0.33544813547275276,0.009379054076409427
Central welfare planner,7,50,0.9982,0.0010757248718887193,0.33593665346229984,0.008775904742380837
Central welfare planner,8,50,0.9976,0.0013204605257257798,0.334911981749822,0.009381293640142797
Central welfare planner,9,50,0.9982,0.0010757248718887193,0.3273277060484311,0.009376215959609044
Central welfare planner,10,50,0.998,0.001120000000000001,0.3274715809976516,0.010559811212765053
Central welfare planner,11,50,0.9976,0.0013204605257257798,0.3321395967466005,0.009955540523252801
Central welfare planner,12,50,0.9982000000000001,0.0012127588383516329,0.33059778890627256,0.01008236106312183
Central welfare planner,13,50,0.998,0.0012521980673998834,0.33184317344201814,0.010038977748038264
Central welfare planner,14,50,0.9980000000000001,0.0012521980673998834,0.33536716722410065,0.0084007664566066
Central welfare planner,15,50,0.9984000000000001,0.001026496955670109,0.33424295872552634,0.008898746031048028
Central welfare planner,16,50,0.998,0.001120000000000001,0.3238333154047527,0.008938147278901598
Central welfare planner,17,50,0.9982000000000001,0.0012127588383516329,0.3234191855826516,0.009607134780352003
Central welfare planner,18,50,0.9978000000000001,0.001288000000000001,0.3254994801810254,0.01007284623003405
Central welfare planner,19,50,0.9974,0.0014613746952783888,0.327303913177223,0.010100046757839974
Central welfare planner,20,50,0.9980000000000001,0.0012521980673998836,0.3296516040736636,0.009778145180201111
Central welfare planner,21,50,0.9978000000000001,0.001288000000000001,0.32942770027107326,0.009525825310628934
Central welfare planner,22,50,0.9975999999999999,0.0013204605257257798,0.3273309523173612,0.01039235980883856
Central welfare planner,23,50,0.9974,0.0014613746952783888,0.3251885249877599,0.009741562610256776
Central welfare planner,24,50,0.9980000000000001,0.0012521980673998834,0.3234559863176898,0.009841441382191474
Central welfare planner,25,50,0.9972000000000001,0.001376279041473786,0.3218026366069473,0.0101888154934475
Central welfare planner,26,50,0.9974,0.0013498207288377233,0.325427779934207,0.008642727119978296
Central welfare planner,27,50,0.9974,0.0014613746952783888,0.3265346774740167,0.009535702408833793
Central welfare planner,28,50,0.9982000000000001,0.0010757248718887193,0.3264313300712967,0.009904209801126253
Central welfare planner,29,50,0.9978000000000001,0.001288000000000001,0.32836460394376865,0.010040873851446608
Central welfare planner,30,50,0.9976,0.0014342998291849594,0.32893595327067776,0.009726939294545996
Central welfare planner,31,50,0.9974,0.0014613746952783888,0.32752403014002046,0.010100174581522896
Central welfare planner,32,50,0.9976,0.0014342998291849594,0.3315175766382283,0.011056518065211143
Central welfare planner,33,50,0.9976,0.0014342998291849594,0.32851671289208395,0.010133270113024567
Central welfare planner,34,50,0.9976,0.0014342998291849594,0.3268723611827199,0.009841276993654101
Central welfare planner,35,50,0.9974,0.0015649971245979988,0.32369385353145025,0.009860116687063951
Central welfare planner,36,50,0.9977999999999999,0.001288000000000001,0.32679463525627844,0.010090649604336147
Central welfare planner,37,50,0.998,0.0012521980673998834,0.3272207662354251,0.011114152927246842
Central welfare planner,38,50,0.9977999999999999,0.001288000000000001,0.3245947845744827,0.009601342763812854
Central welfare planner,39,50,0.9974,0.0013498207288377233,0.32658093927931553,0.009355817552330517
Central welfare planner,40,50,0.9976,0.0013204605257257798,0.32311486582091575,0.00997833975100647
Central welfare planner,41,50,0.9976,0.0014342998291849594,0.3248690542356675,0.010410977654653096
Central welfare planner,42,50,0.9972,0.0016837291943777673,0.32438225882841365,0.010144330158576938
Central welfare planner,43,50,0.997,0.001703173508483503,0.3247818184732412,0.010672702392229247
Central welfare planner,44,50,0.9972,0.0014858479060792205,0.32468096930037516,0.00889216505712894
Central welfare planner,45,50,0.997,0.0016084775410306494,0.3237986299730112,0.009692988955764334
Central welfare planner,46,50,0.9976,0.0014342998291849594,0.32500448653451824,0.009269457802376188
Central welfare planner,47,50,0.9972,0.0014858479060792205,0.32470089794907686,0.009414477357504093
Central welfare planner,48,50,0.9965999999999999,0.001544828793102978,0.3298479874362045,0.009510696640765209
Central welfare planner,49,50,0.997,0.0015078461459976623,0.3256603293828053,0.009770698663103468
Central welfare planner,50,50,0.9954,0.0018749549327917207,0.32622160055408345,0.008606026770110695
Central welfare planner,51,50,0.9956,0.001870768825910889,0.3271314145865192,0.01020656114555012
Central welfare planner,52,50,0.9967999999999999,0.0015274763500624173,0.32666248256382985,0.009431981684223979
Central welfare planner,53,50,0.9967999999999999,0.0014211206845303477,0.3232905803320388,0.009803401562370409
Central welfare planner,54,50,0.9966000000000002,0.0016431968841255768,0.3263351691473924,0.009672701561473021
Central welfare planner,55,50,0.997,0.0015078461459976623,0.3219928384141445,0.009658890292567985
Central welfare planner,56,50,0.9976,0.0013204605257257798,0.32594129773039804,0.009837540979365948
Central welfare planner,57,50,0.9969999999999999,0.0015078461459976625,0.32333285590113464,0.009464919006835796
Central welfare planner,58,50,0.9964,0.0015599794870446227,0.3228978493221728,0.010444071782410256
Central welfare planner,59,50,0.9974000000000001,0.0012281758831698343,0.3217810816891486,0.007782819840791379
Central welfare planner,60,50,0.9972000000000001,0.001376279041473786,0.32402774954530406,0.009094293178995586
Central welfare planner,61,50,0.997,0.001283121194587636,0.3247702927131437,0.010549457123172049
Central welfare planner,62,50,0.9966000000000002,0.0013263845596206264,0.31703345356930557,0.0093820647420761
Central welfare planner,63,50,0.9974,0.0013498207288377233,0.3194860461695118,0.01012398831827872
Central welfare planner,64,50,0.997,0.001400000000000001,0.3192973233026399,0.008974111889324525
Central welfare planner,65,50,0.9978,0.001288000000000001,0.32019549370069095,0.009796449849834538
Central welfare planner,66,50,0.9978,0.001288000000000001,0.32062811718746204,0.010264419718929102
Central welfare planner,67,50,0.9974,0.0014613746952783888,0.3215913558901168,0.01026353580160779
Central welfare planner,68,50,0.9978000000000001,0.0011598896499236478,0.3212233990694296,0.01183719876659349
Central welfare planner,69,50,0.998,0.0012521980673998836,0.3189973016493385,0.011420256281470897
Central welfare planner,70,50,0.998,0.0012521980673998834,0.31687916148220535,0.011283954447020322
Central welfare planner,71,50,0.9978000000000001,0.0011598896499236478,0.3209239912709559,0.010544949918331256
Central welfare planner,72,50,0.9976,0.001195832764227508,0.3198264986198837,0.010027701651569899
Central welfare planner,73,50,0.9976,0.001195832764227508,0.3201265547642462,0.010489418697880618
Central welfare planner,74,50,0.9974000000000001,0.0012281758831698343,0.31996566910977825,0.011016239844298401
Central welfare planner,75,50,0.997,0.001283121194587636,0.3185391019083512,0.010061521276677005
Central welfare planner,76,50,0.9974000000000001,0.0012281758831698343,0.3211147155638453,0.009446501635393054
Central welfare planner,77,50,0.9972000000000001,0.0012571968819560454,0.3223018967898713,0.008520493687567007
Central welfare planner,78,50,0.9966000000000002,0.0014397555348044347,0.31952985263878053,0.007783218392416532
Central welfare planner,79,50,0.9972000000000001,0.0012571968819560454,0.3189255237550816,0.008616539475322368
Central welfare planner,80,50,0.997,0.001283121194587636,0.320950234271591,0.010194451717225165
Central welfare planner,81,50,0.9972000000000001,0.0012571968819560454,0.32351212713185795,0.009479470793831856
Central welfare planner,82,50,0.9974,0.0013498207288377233,0.3259910466199651,0.01053064448556272
Central welfare planner,83,50,0.9972,0.0013762790414737862,0.32691592621236254,0.009817307625997671
Central welfare planner,84,50,0.9972,0.0014858479060792205,0.3254203600874307,0.009007133141903002
Central welfare planner,85,50,0.9974000000000001,0.0012281758831698343,0.3263910887617974,0.009151608115490152
Central welfare planner,86,50,0.9982000000000001,0.0010757248718887193,0.3239581832971023,0.009109472707899566
Central welfare planner,87,50,0.9978,0.0011598896499236476,0.3283791359539101,0.009032155571765956
Central welfare planner,88,50,0.9982000000000001,0.0010757248718887193,0.32707726598001075,0.009973406607317251
Central welfare planner,89,50,0.9980000000000001,0.0012521980673998836,0.32256392717600507,0.00939913895518053
Central welfare planner,90,50,0.9978,0.001288000000000001,0.3227537651750154,0.010318582461964765
Central welfare planner,91,50,0.998,0.001120000000000001,0.3228542583715437,0.009331832058425632
Central welfare planner,92,50,0.9982000000000001,0.0010757248718887193,0.32409651446480986,0.00921807598799208
Central welfare planner,93,50,0.9987999999999999,0.0009098923013192284,0.3280270507407708,0.009442927129951796
Central welfare planner,94,50,0.9982,0.0012127588383516329,0.3270197251906165,0.009297672466952532
Central welfare planner,95,50,0.9986,0.0009715636880822593,0.3274706139328531,0.008167136008018614
Central welfare planner,96,50,0.9980000000000001,0.001120000000000001,0.3259975998447552,0.010091229552801877
Central welfare planner,97,50,0.9978,0.001288000000000001,0.328587280808326,0.010150515942944745
Central welfare planner,98,50,0.9982,0.0010757248718887193,0.327691276849363,0.009213997902461992
Central welfare planner,99,50,0.998,0.001120000000000001,0.323946756164129,0.008909819147656352
Central welfare planner,100,50,0.9982000000000001,0.0010757248718887193,0.32625424583156376,0.009524876799049911
Central welfare planner,101,50,0.9978,0.0011598896499236478,0.32743845096600405,0.009823935863051091
Central welfare planner,102,50,0.998,0.001120000000000001,0.3259654945016579,0.008074781104743288
Central welfare planner,103,50,0.9978,0.0011598896499236478,0.327777298298261,0.008951136879043984
Central welfare planner,104,50,0.9982000000000001,0.0010757248718887193,0.3244997979754467,0.00794238042771407
Central welfare planner,105,50,0.998,0.001120000000000001,0.32661531238264113,0.009645394425860359
Central welfare planner,106,50,0.998,0.001120000000000001,0.32419581700940403,0.009169050530541692
Central welfare planner,107,50,0.9980000000000001,0.001120000000000001,0.3268027548385203,0.00805264626355328
Central welfare planner,108,50,0.9976,0.001195832764227508,0.3284847885787358,0.008777750033460204
Central welfare planner,109,50,0.9974000000000001,0.0013498207288377235,0.3259348272971686,0.009185042856872043
Central welfare planner,110,50,0.9976,0.0013204605257257798,0.3271125314297778,0.008832333529117664
Central welfare planner,111,50,0.9968,0.001626893973189404,0.3286046104177375,0.00845755536939239
Central welfare planner,112,50,0.9974000000000001,0.0012281758831698343,0.32779776305019453,0.007913894882361522
Central welfare planner,113,50,0.9976,0.0013204605257257798,0.32820731301438355,0.009500219839377301
Central welfare planner,114,50,0.9974000000000001,0.0014613746952783888,0.3281029356354263,0.010304688006023516
Central welfare planner,115,50,0.9968,0.0014211206845303477,0.3277766750569736,0.011311834621066094
Central welfare planner,116,50,0.997,0.0015078461459976623,0.3246040669615401,0.010356198365786232
Central welfare planner,117,50,0.9974000000000001,0.0013498207288377233,0.3252781250772584,0.010533787861859807
Central welfare planner,118,50,0.9976000000000002,0.001195832764227508,0.3276969987662646,0.008993543762557031
Central welfare planner,119,50,0.9978,0.0011598896499236478,0.32723993399694024,0.008613815059407691
Central welfare planner,120,50,0.9982,0.0010757248718887193,0.3251143880255533,0.009087309898503851
FL-IMDR restricted,1,50,0.10859999999999997,0.007800098460917015,,
FL-IMDR restricted,2,50,0.10099999999999999,0.00825406566487086,,
FL-IMDR restricted,3,50,0.09879999999999999,0.008280428974394986,,
FL-IMDR restricted,4,50,0.105,0.008423301015635142,,
FL-IMDR restricted,5,50,0.10620000000000002,0.008799130866170818,,
FL-IMDR restricted,6,50,0.9265999999999999,0.007931664138123849,0.0,0.0
FL-IMDR restricted,7,50,0.9527999999999999,0.0064592061431727,0.0,0.0
FL-IMDR restricted,8,50,0.966,0.005627930347827696,0.0,0.0
FL-IMDR restricted,9,50,0.9716,0.004988716869095703,0.0,0.0
FL-IMDR restricted,10,50,0.9764000000000002,0.0046097219005055,0.0,0.0
FL-IMDR restricted,11,50,0.9793999999999999,0.003976000000000003,0.0,0.0
FL-IMDR restricted,12,50,0.9814000000000002,0.003920399979593922,0.0,0.0
FL-IMDR restricted,13,50,0.9818000000000001,0.0038672450142187816,0.0,0.0
FL-IMDR restricted,14,50,0.9822,0.0038914963702925414,0.0,0.0
FL-IMDR restricted,15,50,0.982,0.0035417509793885882,0.0,0.0
FL-IMDR restricted,16,50,0.9826,0.003991743478732073,0.0,0.0
FL-IMDR restricted,17,50,0.9815999999999998,0.003468385215053256,0.0,0.0
FL-IMDR restricted,18,50,0.9837999999999998,0.0036244591320637107,0.0,0.0
